id|brandNm|product|location|date|post_date|origin_data_index|start_ymd|end_ymd|date_diff|address_name|address|x|y
90|르샤또|가구|현대백화점 목동점 B1층|2월 24일 - 3월 8일|2020-02-25|124.0|20200224|20200308|13|현대백화점 목동점|서울 양천구 목동동로 257|126.87525853214666|37.526654089298255
91|구호플러스|상품|압구정 갤러리아 백화점 West|5월 18일 - 6월 7일|2020-05-26|125.0|20200518|20200607|20|갤러리아백화점 WEST점|서울 강남구 압구정로 343|127.04014394421372|37.52842774945761
92|뮤제|의류|갤러리아백화점 웨스트점|11.29 ~ 12.12|2019-12-05|126.0|20191129|20191212|13|갤러리아백화점 WEST점|서울 강남구 압구정로 343|127.04014394421372|37.52842774945761
93|우주도넛|도넛|성수 수피하우스|09.23(금)-10.12(수)|2022-09-27|128.0|20220923|20221012|19|수피하우스|서울 성동구 성수이로 71|127.05584646458347|37.541717434745294
94|코펜하겐 레서피|사료|성수 LCDC|04.01(금)-04.17(일)|2022-04-08|130.0|20220401|20220417|16|LCDC서울|서울 성동구 연무장17길 10|127.06154597509|37.5417353247515
95|비비안|속옷|영등포구 선유동2로 57|8/27~8/29|2019-08-26|131.0|20190827|20190829|2|이레빌딩|서울 영등포구 선유동2로 57|126.897335759076|37.5341203159822
96|넷플릭스|오징어게임|이태원역|09.05(일)-09.18(토)|2021-09-10|132.0|20210905|20210918|13|이태원역 6호선|서울 용산구 이태원로 지하 177|126.994333861918|37.5345252050511
97|에스더버니|굿즈|영등포구 여의대로108, 더현대 서울 5층|01.06(금)-01.31(수) (21일, 22일 설 연휴 휴무)|2023-01-18|135.0|20230106|20230131|25|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
98|홍콩다방|홍콩 디저트|용산 아이파크몰 4층|06.02(수)-07.31(토)|2021-06-15|136.0|20210602|20210731|59|아이파크몰 용산점|서울 용산구 한강대로23길 55|126.96453276994514|37.52881667725366
99|NOS7|의류, 굿즈|강남구 압구정로60길 21 분더샵 청담 케이스스터디|06.17(금)-06.30(목)|2022-06-17|137.0|20220617|20220630|13|분더샵 청담점|서울 강남구 압구정로60길 21|127.04195941881609|37.52586827297847
100|NoTed|도넛|송파구 롯데월드몰|08.16(화)-08.31(수)|2022-08-17|139.0|20220816|20220831|15|롯데월드타워|서울 송파구 올림픽로 300|127.10255558658325|37.51260447840551
101|Nukak LAB|다양한 제품|강남구 테헤란로 521 파르나스몰 B1|07.21(목)-07.31(일)|2022-07-25|141.0|20220721|20220731|10|파르나스몰|서울 강남구 테헤란로 521|127.060831669861|37.5093068276361
102|골든구스|빈티지슈즈|롯데백화점본점|3/8~3/28|2019-03-13|143.0|20190308|20190328|20|롯데백화점 본점|서울 중구 남대문로 81|126.98175414832635|37.564905601247865
103|에노우, 카네브로스, 아티스트웨어, 몬스터리퍼블릭|자켓, 후드, 니트, 맨투맨, 가방|현대백화점 유플렉스 신촌점|10.11 - 10.20|2019-10-14|146.0|20191011|20191020|9|현대백화점유플렉스 신촌점|서울 서대문구 연세로 13|126.93661730245256|37.55673777941326
104|아슬란|말차빵|롯데백화점 잠실|3/25~4/7|2019-03-27|147.0|20190325|20190407|13|롯데백화점 잠실점|서울 송파구 올림픽로 240|127.0985552869803|37.51201141930842
105|UND|가구|현대백화점 판교|6/25~7/14|2019-06-28|148.0|20190625|20190714|19|현대백화점 판교점|경기 성남시 분당구 판교역로146번길 20|127.11204751299005|37.39279718014944
106|로드로아르|골프웨어|잠실 롯데월드 몰 2층|03.28(월)-04.10(일)|2022-03-28|150.0|20220328|20220410|13|롯데월드타워&롯데월드몰|서울 송파구 올림픽로 300|127.104079482694|37.5136519138098
107|시몬스|혼수침대|현대 압구정점|2/6~4/30|2019-03-21|151.0|20190206|20190430|83|현대그린푸드베즐리 압구정점|서울 강남구 압구정로 165|127.02746817499|37.5273321555948
108|롯데월드|월드파크|잠실|04.01(금)-04.17(일)|2022-04-01|152.0|20220401|20220417|16|석촌호수 서호|서울 송파구 잠실동 47|127.099112837006|37.5076807262772
109|독립문|다양한 제품|강남구 가로수길 51|08.12(금)-09.07(수)|2022-08-23|153.0|20220812|20220907|26|정샘물 플롭스|서울 강남구 가로수길 51-1|127.022497672095|37.5213541552034
110|팝가|팝업스토어|부산시 해운대구 좌동로 162, 아세안문화원|12.02(금)-12.03(토)|2022-11-28|154.0|20221202|20221203|1|아세안문화원|부산 해운대구 좌동로 162|129.181951498616|35.175183812067
111|야미요밀|쌀빵|현대백화점 압구정|2/15~2/27|2019-02-19|156.0|20190215|20190227|12|현대백화점 압구정본점|서울 강남구 압구정로 165|127.02747045214494|37.527371799149506
112|밀키스|음료|성수|05.03(수)-05.16(화)|2023-05-04|157.0|20230503|20230516|13|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
113|푸룻스킨|비건 코스메틱|더현대 서울|01.26(목)-02.01(수)|2023-01-27|158.0|20230126|20230201|6|더현대 서울|서울 영등포구 여의대로 108|126.92844612411159|37.525872071029134
114|키스미|뷰티|강남구 강남대로162길 36|03.01(수)-03.31(금)|2023-03-08|161.0|20230301|20230331|30|우프바이베럴즈 신사점|서울 강남구 강남대로162길 36|127.0214239323115|37.52060742344531
115|마시마로|인형, 스티커|마포구 어울마당로 65, 상상마당 1층|02.13(월)-04.02(일)|2023-03-07|163.0|20230213|20230402|48|KT&G상상마당 홍대|서울 마포구 어울마당로 65|126.921068533254|37.5510088755674
116|픽사|팝업스토어|현대백화점 유플렉스 중동점|07.05(월)-07.18(일)|2021-07-08|165.0|20210705|20210718|13|현대백화점유플렉스 중동점|경기 부천시 길주로 172|126.7611135134866|37.50447140216988
117|까사리빙|홈 오피스|롯데백화점 인천터미널점 5층|05.18(화)-08.31(화)|2021-06-22|166.0|20210518|20210831|105|피디오클래식 롯데백화점 인천점|인천 미추홀구 연남로 35|126.701518656935|37.4425060496762
118|하우스 오브 미나리마|해리포터 굿즈 및 도서|YES24 홍대점|2019.12.13 - 2020.1.12|2019-12-19|168.0|20191213|20200112|30|YES24|서울 영등포구 은행로 11|126.920355094609|37.5280653362469
119|딥티크|니치 퍼퓸|가로수길|5/5~6/14|2019-05-16|169.0|20190505|20190614|40|Apple 가로수길|서울 강남구 가로수길 43|127.02272940977892|37.520819816124934
120|포켓몬|인형, 문구류, 봉제인형, 친환경 제품|스타필드 코엑스몰 지하1층 메가박스 앞|04.29(금)~05.15(일)|2022-04-29|171.0|20220429|20220515|16|스타필드 코엑스몰|서울 강남구 영동대로 513|127.05977688598037|37.51131840799449
121|빨간머리 ANNE|전시 및 체험요소들과 굿즈|성동구 서울숲 갤러리아포레 B1층|19.06.28 - 20.04.05|2020-02-26|172.0|20200628|20210405|281|갤러리아포레아파트|서울 성동구 서울숲2길 32-14|127.04247979310725|37.54578380383026
122|상쾌환|샤워 룸|성수|04.24(월)-05.14(일)|2023-05-01|175.0|20230424|20230514|20|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
123|LG프라엘|뷰티 케어 기기|강남구 신사동 645-15, 꼴라보하우스 도산|05.12(금)-06.23(금)|2023-05-19|176.0|20230512|20230623|42|꼴라보하우스 도산|서울 강남구 언주로164길 21-3|127.035228201459|37.5257353222619
124|하동|녹차|서울|10.09 - 10.25|2020-10-15|178.0|20201009|20201025|16|경복궁|서울 종로구 사직로 161|126.976896737645|37.5776087830657
125|위글위글|다양한 아이템|신세계백화점 영등포점 B2층|1.17(금) - 2.13(목)|2020-01-21|179.0|20200117|20200213|27|신세계백화점 타임스퀘어점|서울 영등포구 영중로 9|126.90561074423691|37.51718207734634
126|가나 초콜릿하우스|팝업스토어|성수|04.19(화)-05.12(목)|2022-04-20|180.0|20220419|20220512|23|서울숲카페거리|서울 성동구 성수동1가 668-11|127.043028992489|37.5464440372535
127|코드온캔버스|의류|현대백화점 무역센터점|10.29 - 11.4|2019-10-29|181.0|20191029|20191104|6|현대백화점 무역센터점|서울 강남구 테헤란로 517|127.05977475920854|37.508651435836725
128|고심이|노트북 스티커|경복궁역 3번 출구 서촌 원모어백|08.06(금)-09.13(월)|2021-08-20|182.0|20210806|20210913|38|경복궁역 3호선 3번출구|서울 종로구 적선동 106|126.972717612994|37.5763104593643
129|스텔라 프리츠 아르투아|팝업 레스토랑|한남동 이태원로 258|10.05(목)-11.07(일)|2021-10-19|183.0|20211005|20211107|33|디젤 한남플래그십스토어점|서울 용산구 이태원로 258|127.00136906935|37.5374986350849
130|스쳇|편집샵|을지로지하상가|7/15~8/15|2019-07-15|185.0|20190715|20190815|31|을지로지하상가|서울 중구 을지로 지하 106|126.989758599285|37.5662256252258
131|어메이징브루 컴퍼니|하이퀄리티 식음료|가로수길 옥림빌딩|7/26~7/28|2019-07-26|188.0|20190726|20190728|2|옥림빌딩|서울 강남구 신사동|127.022959446615|37.522128928734
