|id|subway_name|subway_line|distance|x|y
349|98|신용산역|4호선|307|126.967965039183|37.5292591489375
350|98|용산역|1호선|106|126.96462961258051|37.52977356999725
351|98|용산역|경의중앙선|90|126.96475753303035|37.52960692295435
352|99|강남구청역|7호선|962|127.0413109462156|37.51721617197854
353|99|압구정로데오역|수인분당선|218|127.0406027693898|37.5275184818021
354|100|석촌역|8호선|889|127.107004062699|37.5054141216925
355|100|석촌역|9호선|924|127.10676479806769|37.504972845773686
356|100|송파나루역|9호선|910|127.11266171422027|37.51101671275264
357|100|잠실나루역|2호선|906|127.103808749487|37.5207124124456
358|100|잠실역|2호선|220|127.10023101886318|37.51331105877401
359|100|잠실역|8호선|199|127.103270523629|37.5143121584933
360|101|봉은사역|9호선|551|127.060233935114|37.5142554489848
361|101|삼성역|2호선|201|127.06302321147605|37.508822740225305
362|101|삼성중앙역|9호선|799|127.053043676912|37.5129614511319
363|102|광화문역|5호선|884|126.97642427981408|37.57164860977568
364|102|명동역|4호선|599|126.98640235001736|37.56096526943837
365|102|시청역|1호선|405|126.97719821079865|37.56534539636417
366|102|시청역|2호선|560|126.97559827045151|37.56368183746611
367|102|을지로3가역|2호선|829|126.99098443539428|37.56629149790628
368|102|을지로3가역|3호선|974|126.992615486076|37.5664312655685
369|102|을지로입구역|2호선|131|126.9821953112953|37.566035517712955
370|102|종각역|1호선|603|126.98315081716676|37.570227990912244
371|102|회현역|4호선|742|126.9784372569283|37.55876114587941
372|103|서강대역|경의중앙선|519|126.935507621173|37.5521384864879
373|103|신촌역|2호선|173|126.93698075993808|37.555198169366435
374|103|신촌역|경의중앙선|582|126.94208931819857|37.55967513765615
375|103|이대역|2호선|867|126.94642954546576|37.556814718869
376|103|홍대입구역|공항철도|851|126.927010430346|37.5573052656667
377|103|홍대입구역|경의중앙선|842|126.927118938976|37.5574494922411
378|104|잠실역|2호선|207|127.10023101886318|37.51331105877401
379|104|잠실역|8호선|488|127.103270523629|37.5143121584933
380|105|판교역|신분당선|232|127.11119782955879|37.39477752734142
381|105|판교역|경강선|219|127.111982699564|37.394775885643
382|106|몽촌토성역|8호선|903|127.11286534895457|37.5178055794687
383|106|석촌역|8호선|950|127.107004062699|37.5054141216925
384|106|석촌역|9호선|991|127.10676479806769|37.504972845773686
385|106|송파나루역|9호선|813|127.11266171422027|37.51101671275264
386|106|잠실나루역|2호선|783|127.103808749487|37.5207124124456
387|106|잠실역|2호선|342|127.10023101886318|37.51331105877401
388|106|잠실역|8호선|102|127.103270523629|37.5143121584933
389|107|압구정역|3호선|130|127.02850865895756|37.52649127416921
390|108|석촌고분역|9호선|623|127.0965081858022|37.50246245994369
391|108|석촌역|8호선|741|127.107004062699|37.5054141216925
392|108|석촌역|9호선|740|127.10676479806769|37.504972845773686
393|108|잠실역|2호선|632|127.10023101886318|37.51331105877401
394|108|잠실역|8호선|822|127.103270523629|37.5143121584933
395|109|신사역|3호선|579|127.02030856272764|37.51643597531432
396|109|신사역|신분당선|640|127.019551734927|37.5160820085929
397|109|압구정역|3호선|779|127.02850865895756|37.52649127416921
398|110|신해운대역|동해선|862|129.176849316342|35.1817313965038
399|110|장산역|부산2호선|733|129.177022545045|35.1699558313015
400|111|압구정역|3호선|133|127.02850865895756|37.52649127416921
401|112|뚝섬역|2호선|395|127.04738727881|37.547241554679
402|112|서울숲역|수인분당선|345|127.044746216358|37.543645796605
403|112|응봉역|경의중앙선|849|127.034483653629|37.5499526279456
404|113|국회의사당역|9호선|971|126.91783895106|37.5281465047706
405|113|샛강역|9호선|943|126.9283750591322|37.51737287009036
406|113|샛강역|신림선|970|126.929463427672|37.5171662943088
407|113|여의나루역|5호선|425|126.93298596744|37.5271469489465
408|113|여의도역|9호선|620|126.92466104293|37.5211700890445
409|113|여의도역|5호선|578|126.924397990207|37.5217753947299
410|114|신사역|3호선|473|127.02030856272764|37.51643597531432
411|114|신사역|신분당선|528|127.019551734927|37.5160820085929
412|114|압구정역|3호선|904|127.02850865895756|37.52649127416921
413|115|상수역|6호선|379|126.92242989321456|37.54776618366393
414|115|합정역|2호선|596|126.91445406513526|37.54991315995173
415|115|합정역|6호선|654|126.91421318621|37.5487840343032
416|115|홍대입구역|2호선|693|126.923778562273|37.5568707448873
417|115|홍대입구역|공항철도|874|126.927010430346|37.5573052656667
418|115|홍대입구역|경의중앙선|892|126.927118938976|37.5574494922411
419|116|부천시청역|7호선|257|126.76401271224958|37.504657430273305
420|116|상동역|7호선|715|126.753192450274|37.50578860265
421|117|문학경기장역|인천1호선|913|126.698449383593|37.4346513434001
422|117|예술회관역|인천1호선|670|126.700916120922|37.4485259845342
423|117|인천터미널역|인천1호선|174|126.699694889876|37.4419166733897
424|118|국회의사당역|9호선|222|126.91783895106|37.5281465047706
425|118|여의도역|9호선|854|126.92466104293|37.5211700890445
426|118|여의도역|5호선|784|126.924397990207|37.5217753947299
427|119|신사역|3호선|531|127.02030856272764|37.51643597531432
428|119|신사역|신분당선|596|127.019551734927|37.5160820085929
429|119|압구정역|3호선|810|127.02850865895756|37.52649127416921
430|120|봉은사역|9호선|328|127.060233935114|37.5142554489848
431|120|삼성역|2호선|398|127.06302321147605|37.508822740225305
432|120|삼성중앙역|9호선|622|127.053043676912|37.5129614511319
433|121|뚝섬역|2호선|462|127.04738727881|37.547241554679
434|121|서울숲역|수인분당선|310|127.044746216358|37.543645796605
435|121|응봉역|경의중앙선|844|127.034483653629|37.5499526279456
436|122|뚝섬역|2호선|395|127.04738727881|37.547241554679
437|122|서울숲역|수인분당선|345|127.044746216358|37.543645796605
438|122|응봉역|경의중앙선|849|127.034483653629|37.5499526279456
439|123|압구정로데오역|수인분당선|514|127.0406027693898|37.5275184818021
440|123|압구정역|3호선|599|127.02850865895756|37.52649127416921
441|124|경복궁역|3호선|346|126.973691352767|37.5758061234865
442|124|광화문역|5호선|662|126.97642427981408|37.57164860977568
